Scenario,cyclone,timestamp,lat,lon,BASIN,Tropical SST,Local SST,Relative SST
126,0,2015-01-11 00:00:00,-11.2,100.2,SI,27.52908,28.994474,1.465395
126,1,2015-01-16 00:00:00,-11.0,110.4,SI,27.52908,29.503775,1.9746952
126,2,2015-01-18 00:00:00,-12.1,143.3,SP,27.52908,30.12295,2.5938702
126,3,2015-01-28 00:00:00,-13.5,119.8,SI,27.52908,30.021164,2.4920845
126,4,2015-02-04 00:00:00,-9.9,96.8,SI,27.64071,29.47237,1.8316593
126,5,2015-02-12 00:00:00,-18.0,147.4,SP,27.64071,29.128197,1.4874859
126,6,2015-02-14 00:00:00,-13.2,163.3,SP,27.64071,29.833954,2.193243
126,7,2015-02-17 00:00:00,-16.4,51.2,SI,27.64071,28.79458,1.1538696
126,8,2015-02-17 00:00:00,-14.1,121.1,SI,27.64071,29.86204,2.2213287
126,9,2015-02-19 00:00:00,-9.6,138.2,SI,27.64071,30.001749,2.3610382
126,10,2015-02-23 00:00:00,-11.5,64.9,SI,27.64071,29.100555,1.4598446
126,11,2015-03-12 00:00:00,-14.0,142.7,SP,27.911469,30.372036,2.4605675
126,12,2015-03-27 00:00:00,-6.2,85.4,SI,27.911469,29.338612,1.4271431
126,13,2015-04-05 00:00:00,-16.5,112.9,SI,28.171041,29.242157,1.0711155
126,14,2015-04-11 00:00:00,-17.1,117.0,SI,28.171041,29.646923,1.4758816
126,15,2015-04-19 00:00:00,-6.7,94.8,SI,28.171041,29.720182,1.5491409
126,16,2015-04-22 00:00:00,-15.5,43.2,SI,28.171041,29.67893,1.5078888
126,17,2015-06-01 00:00:00,9.4,149.5,WP,27.765518,29.552277,1.7867584
126,18,2015-07-07 00:00:00,15.7,128.9,WP,27.341799,29.690876,2.3490772
126,19,2015-07-13 00:00:00,7.8,146.7,WP,27.341799,30.047443,2.7056446
126,20,2015-07-20 00:00:00,9.4,149.5,WP,27.341799,29.842745,2.500946
126,21,2015-07-21 00:00:00,19.1,112.3,WP,27.341799,28.917185,1.575386
126,22,2015-08-04 00:00:00,9.9,171.1,WP,27.120617,29.749914,2.6292973
126,23,2015-08-05 00:00:00,3.9,144.4,WP,27.120617,30.149574,3.0289574
126,24,2015-08-13 00:00:00,13.0,110.9,WP,27.120617,28.708336,1.587719
126,25,2015-08-14 00:00:00,6.0,171.0,WP,27.120617,30.080908,2.960291
126,26,2015-08-23 00:00:00,8.1,140.9,WP,27.120617,30.015347,2.8947296
126,27,2015-08-31 00:00:00,20.3,119.0,WP,27.120617,29.720203,2.5995865
126,28,2015-09-01 00:00:00,20.6,158.8,WP,27.187016,28.99875,1.8117352
126,29,2015-09-18 00:00:00,6.0,171.0,WP,27.187016,30.193653,3.0066376
126,30,2015-09-23 00:00:00,8.0,155.8,WP,27.187016,30.203135,3.016119
126,31,2015-10-15 00:00:00,20.7,110.4,WP,27.435207,27.806065,0.37085724
126,32,2015-10-20 00:00:00,-8.2,132.3,SI,27.435207,27.960287,0.5250797
126,33,2015-11-13 00:00:00,8.4,134.2,WP,27.600464,29.682245,2.0817814
126,34,2015-11-14 00:00:00,-11.1,140.5,SI,27.600464,28.276972,0.67650795
126,35,2015-11-18 00:00:00,8.3,144.4,WP,27.600464,29.796926,2.1964626
126,36,2015-12-01 00:00:00,-8.5,66.7,SI,27.615051,28.707468,1.0924168
126,37,2015-12-09 00:00:00,-5.9,84.2,SI,27.615051,28.78663,1.1715794
126,38,2015-12-26 00:00:00,-14.9,58.4,SI,27.615051,27.691671,0.0766201
126,39,2016-01-05 00:00:00,-14.9,203.4,SP,27.599728,29.33351,1.7337818
126,40,2016-01-08 00:00:00,-15.5,188.3,SP,27.599728,29.383642,1.7839146
126,41,2016-01-12 00:00:00,-11.6,114.7,SI,27.599728,29.70126,2.101532
126,42,2016-01-18 00:00:00,-8.9,51.9,SI,27.599728,29.049953,1.4502258
126,43,2016-01-23 00:00:00,-12.3,100.4,SI,27.599728,28.66662,1.0668926
126,44,2016-01-26 00:00:00,-11.3,154.3,SP,27.599728,29.977335,2.3776073
126,45,2016-01-29 00:00:00,-12.8,140.0,SI,27.599728,30.38626,2.7865314
126,46,2016-02-14 00:00:00,-16.0,65.6,SI,27.719501,28.586554,0.8670521
126,47,2016-02-14 00:00:00,-12.5,51.4,SI,27.719501,29.181526,1.4620247
126,48,2016-02-16 00:00:00,-6.4,89.1,SI,27.719501,29.213343,1.4938412
126,49,2016-02-28 00:00:00,-12.8,98.6,SI,27.719501,28.935963,1.2164612
126,50,2016-03-05 00:00:00,5.1,163.7,WP,28.008839,28.95528,0.94644165
126,51,2016-03-07 00:00:00,-14.6,56.5,SI,28.008839,29.203632,1.1947937
126,52,2016-03-09 00:00:00,-15.9,172.0,SP,28.008839,29.517385,1.5085468
126,53,2016-03-16 00:00:00,-9.9,135.7,SI,28.008839,29.987387,1.978548
126,54,2016-03-28 00:00:00,-11.2,81.0,SI,28.008839,29.15242,1.1435814
126,55,2016-04-01 00:00:00,-8.1,98.1,SI,28.262888,29.798126,1.5352383
126,56,2016-04-04 00:00:00,-10.0,109.4,SI,28.262888,29.64008,1.3771915
126,57,2016-06-20 00:00:00,8.2,139.3,WP,27.855099,30.070343,2.2152443
126,58,2016-06-21 00:00:00,21.5,133.4,WP,27.855099,28.400148,0.54504967
126,59,2016-07-01 00:00:00,8.8,148.8,WP,27.42317,29.89768,2.4745102
126,60,2016-07-17 00:00:00,20.0,133.3,WP,27.42317,29.53133,2.10816
126,61,2016-07-31 00:00:00,15.0,130.0,WP,27.42317,29.809847,2.3866768
126,62,2016-08-11 00:00:00,18.7,134.0,WP,27.19221,29.70089,2.5086803
126,63,2016-08-15 00:00:00,5.0,139.1,WP,27.19221,30.225773,3.0335636
126,64,2016-08-22 00:00:00,7.2,134.2,WP,27.19221,30.088623,2.8964138
126,65,2016-08-23 00:00:00,8.7,137.4,WP,27.19221,29.998392,2.8061829
126,66,2016-09-13 00:00:00,13.7,140.8,WP,27.248497,29.650335,2.4018383
126,67,2016-09-17 00:00:00,18.6,165.7,WP,27.248497,29.090408,1.8419113
126,68,2016-09-23 00:00:00,18.9,115.8,WP,27.248497,29.355616,2.1071186
126,69,2016-09-26 00:00:00,15.8,119.4,WP,27.248497,29.632975,2.3844776
126,70,2016-10-03 00:00:00,11.7,139.6,WP,27.475582,29.671429,2.1958466
126,71,2016-10-10 00:00:00,14.2,141.7,WP,27.475582,29.576021,2.100439
126,72,2016-10-21 00:00:00,3.6,150.0,WP,27.475582,30.0471,2.571518
126,73,2016-10-29 00:00:00,11.4,162.5,WP,27.475582,29.751707,2.276125
126,74,2016-11-01 00:00:00,4.8,163.2,WP,27.651196,29.963766,2.3125706
126,75,2016-11-15 00:00:00,20.8,145.9,WP,27.651196,27.78442,0.13322449
126,76,2016-11-21 00:00:00,9.6,153.5,WP,27.651196,29.559078,1.9078827
126,77,2016-11-23 00:00:00,-14.1,121.1,SI,27.651196,29.869171,2.2179756
126,78,2016-12-05 00:00:00,-8.6,104.0,SI,27.677399,29.007593,1.3301945
126,79,2016-12-07 00:00:00,-14.9,143.0,SP,27.677399,29.855219,2.1778202
126,80,2016-12-17 00:00:00,-8.3,98.5,SI,27.677399,28.621368,0.9439697
126,81,2016-12-20 00:00:00,-7.1,95.2,SI,27.677399,28.745708,1.0683098
126,82,2016-12-24 00:00:00,-17.3,147.5,SP,27.677399,27.912636,0.23523712
126,83,2017-01-03 00:00:00,-12.1,170.9,SP,27.658928,29.916143,2.2572155
126,84,2017-01-14 00:00:00,-7.4,77.8,SI,27.658928,29.10644,1.4475117
126,85,2017-01-23 00:00:00,-11.7,87.1,SI,27.658928,28.36857,0.7096424
126,86,2017-02-01 00:00:00,-17.6,156.4,SP,27.758104,29.261093,1.5029888
126,87,2017-02-04 00:00:00,-16.2,120.5,SI,27.758104,30.052273,2.2941685
126,88,2017-03-01 00:00:00,-13.5,186.8,SP,28.032055,30.058079,2.0260239
126,89,2017-03-03 00:00:00,-17.1,118.6,SI,28.032055,30.122288,2.0902328
126,90,2017-03-05 00:00:00,-18.9,56.0,SI,28.032055,28.427498,0.39544296
126,91,2017-03-09 00:00:00,-7.6,132.2,SI,28.032055,29.836067,1.8040123
126,92,2017-04-06 00:00:00,-12.9,62.4,SI,28.279877,29.097538,0.8176613
126,93,2017-04-07 00:00:00,-9.0,157.1,SP,28.279877,30.33764,2.057764
126,94,2017-05-02 00:00:00,8.8,131.3,WP,28.244337,29.632221,1.3878841
126,95,2017-05-12 00:00:00,11.4,133.1,WP,28.244337,29.310926,1.0665894
126,96,2017-05-13 00:00:00,14.9,117.3,WP,28.244337,29.749374,1.5050373
126,97,2017-05-25 00:00:00,7.3,179.0,WP,28.244337,29.345264,1.1009274
126,98,2017-06-01 00:00:00,16.7,139.4,WP,27.847008,29.131699,1.2846909
126,99,2017-07-10 00:00:00,8.1,160.9,WP,27.402033,30.075195,2.6731625
126,100,2017-07-10 00:00:00,11.0,127.3,WP,27.402033,29.875757,2.4737244
126,101,2017-07-17 00:00:00,8.1,127.0,WP,27.402033,29.826927,2.4248943
126,102,2017-07-19 00:00:00,23.5,153.0,WP,27.402033,28.184576,0.7825432
126,103,2017-07-31 00:00:00,3.9,144.4,WP,27.402033,30.184723,2.78269
126,104,2017-08-06 00:00:00,18.7,126.7,WP,27.173067,29.652275,2.479208
126,105,2017-08-23 00:00:00,3.2,153.3,WP,27.173067,30.15441,2.9813423
126,106,2017-08-24 00:00:00,19.5,124.0,WP,27.173067,29.702972,2.5299053
126,107,2017-09-04 00:00:00,5.7,145.1,WP,27.231453,30.164017,2.9325638
126,108,2017-09-04 00:00:00,18.0,123.1,WP,27.231453,29.656094,2.4246407
126,109,2017-09-26 00:00:00,14.7,130.3,WP,27.231453,29.521887,2.290434
126,110,2017-09-29 00:00:00,19.0,120.0,WP,27.231453,29.56938,2.3379269
126,111,2017-10-01 00:00:00,19.0,120.0,WP,27.459717,28.510033,1.0503159
126,112,2017-10-08 00:00:00,10.8,115.6,WP,27.459717,29.177786,1.7180691
126,113,2017-10-11 00:00:00,10.6,118.2,WP,27.459717,29.33404,1.8743229
126,114,2017-10-28 00:00:00,6.6,161.6,WP,27.459717,30.240854,2.7811375
126,115,2017-10-29 00:00:00,11.4,128.9,WP,27.459717,29.617018,2.157301
126,116,2017-10-31 00:00:00,13.2,140.7,WP,27.459717,29.528086,2.068369
126,117,2017-11-02 00:00:00,9.5,146.2,WP,27.645168,29.56101,1.915842
126,118,2017-11-28 00:00:00,6.0,148.8,WP,27.645168,29.985428,2.3402596
126,119,2017-12-03 00:00:00,-12.5,72.6,SI,27.647411,27.83104,0.18362808
126,120,2017-12-12 00:00:00,-13.7,185.0,SP,27.647411,29.2654,1.6179886
