Scenario,cyclone,timestamp,lat,lon,basin,tropical_sst,local_sst,relative_sst,local_sst_scaled,tropical_sst_scaled,basin_numerical,peak_wind,quantile
126,0,2015-01-11 00:00:00,-11.2,100.2,SI,27.52908,28.994474,1.465395,0.09930005962373437,1.1751589390323292,0,79.32067290720168,0.45
126,1,2015-01-16 00:00:00,-11.0,110.4,SI,27.52908,29.503775,1.9746952,0.8522585471303185,1.1751589390323292,0,84.5368714216655,0.65
126,2,2015-01-18 00:00:00,-12.1,143.3,SP,27.52908,30.12295,2.5938702,1.7676564581925145,1.1751589390323292,1,66.25835363931058,0.35
126,3,2015-01-28 00:00:00,-13.5,119.8,SI,27.52908,30.021164,2.4920845,1.61717445912056,1.1751589390323292,0,116.49416186771016,0.95
126,4,2015-02-04 00:00:00,-9.9,96.8,SI,27.64071,29.47237,1.8316593,0.805828908664767,1.4413224072493163,0,54.01982133063745,0.25
126,5,2015-02-12 00:00:00,-18.0,147.4,SP,27.64071,29.128197,1.4874859,0.29699821420195566,1.4413224072493163,1,41.649138426762455,0.05
126,6,2015-02-14 00:00:00,-13.2,163.3,SP,27.64071,29.833954,2.193243,1.3404002952251275,1.4413224072493163,1,61.16029736565807,0.35
126,7,2015-02-17 00:00:00,-16.4,51.2,SI,27.64071,28.79458,1.1538696,-0.19622632634770742,1.4413224072493163,0,72.77026618993362,0.45
126,8,2015-02-17 00:00:00,-14.1,121.1,SI,27.64071,29.86204,2.2213287,1.3819230726791503,1.4413224072493163,0,61.47605577055471,0.35
126,9,2015-02-19 00:00:00,-9.6,138.2,SI,27.64071,30.001749,2.3610382,1.5884710223809122,1.4413224072493163,0,70.54841160430163,0.45
126,10,2015-02-23 00:00:00,-11.5,64.9,SI,27.64071,29.100555,1.4598446,0.256131853225525,1.4413224072493163,0,101.62543530408777,0.75
126,11,2015-03-12 00:00:00,-14.0,142.7,SP,27.911469,30.372036,2.4605675,2.135909058951331,2.0869029365959513,1,88.72359134168158,0.65
126,12,2015-03-27 00:00:00,-6.2,85.4,SI,27.911469,29.338612,1.4271431,0.6080790095443928,2.0869029365959513,0,41.174280589638194,0.05
126,13,2015-04-05 00:00:00,-16.5,112.9,SI,28.171041,29.242157,1.0711155,0.46547844344998235,2.7058098950481644,0,126.24425776226997,0.95
126,14,2015-04-11 00:00:00,-17.1,117.0,SI,28.171041,29.646923,1.4758816,1.063890767702421,2.7058098950481644,0,62.190675576723876,0.35
126,15,2015-04-19 00:00:00,-6.7,94.8,SI,28.171041,29.720182,1.5491409,1.1721980080892354,2.7058098950481644,0,59.88199997123943,0.35
126,16,2015-04-22 00:00:00,-15.5,43.2,SI,28.171041,29.67893,1.5078888,1.1112104122929938,2.7058098950481644,0,104.7783891172873,0.75
126,17,2015-06-01 00:00:00,9.4,149.5,WP,27.765518,29.552277,1.7867584,0.923964655229544,1.7389066600597318,2,100.4057742390293,0.75
126,18,2015-07-07 00:00:00,15.7,128.9,WP,27.341799,29.690876,2.3490772,1.1288715637373308,0.7286180406076579,2,64.46297311889754,0.45
126,19,2015-07-13 00:00:00,7.8,146.7,WP,27.341799,30.047443,2.7056446,1.6560257397840326,0.7286180406076579,2,143.40029557291072,0.95
126,20,2015-07-20 00:00:00,9.4,149.5,WP,27.341799,29.842745,2.500946,1.353397045798309,0.7286180406076579,2,54.834947196795184,0.45
126,21,2015-07-21 00:00:00,19.1,112.3,WP,27.341799,28.917185,1.575386,-0.014965195188050005,0.7286180406076579,2,57.198529410928,0.35
126,22,2015-08-04 00:00:00,9.9,171.1,WP,27.120617,29.749914,2.6292973,1.2161542574399045,0.2012457551362679,2,42.2188135133364,0.05
126,23,2015-08-05 00:00:00,3.9,144.4,WP,27.120617,30.149574,3.0289574,1.8070177922000592,0.2012457551362679,2,70.8791086146934,0.45
126,24,2015-08-13 00:00:00,13.0,110.9,WP,27.120617,28.708336,1.587719,-0.32373079187304166,0.2012457551362679,2,67.51715307418901,0.55
126,25,2015-08-14 00:00:00,6.0,171.0,WP,27.120617,30.080908,2.960291,1.7055009141591222,0.2012457551362679,2,62.428624491026625,0.35
126,26,2015-08-23 00:00:00,8.1,140.9,WP,27.120617,30.015347,2.8947296,1.60857451621484,0.2012457551362679,2,75.4153448372082,0.55
126,27,2015-08-31 00:00:00,20.3,119.0,WP,27.120617,29.720203,2.5995865,1.172229054814527,0.2012457551362679,2,76.85549664251893,0.55
126,28,2015-09-01 00:00:00,20.6,158.8,WP,27.187016,28.99875,1.8117352,0.10562176425926184,0.35956330531220776,2,137.76108933286406,0.95
