timestamp,Storm ID,BASIN,Season,SEASON TC NUMBER,Latitude (degrees),Longitude (degrees),VMAX (kt),Peak VMAX (kt),ACE,Maximum 24h Intensification
1981-10-21 06:00:00,1982-S-2,SI,1982.0,2.0,-8.0,84.6,40.0,85.0,1.18725,25.0
1981-10-21 12:00:00,1982-S-2,SI,1982.0,2.0,-8.3,84.7,40.0,85.0,1.18725,25.0
1981-10-21 18:00:00,1982-S-2,SI,1982.0,2.0,-8.5,84.7,40.0,85.0,1.18725,25.0
1981-10-22 00:00:00,1982-S-2,SI,1982.0,2.0,-8.5,84.5,50.0,85.0,1.18725,25.0
1981-10-22 06:00:00,1982-S-2,SI,1982.0,2.0,-8.7,84.6,55.0,85.0,1.18725,25.0
1981-10-22 12:00:00,1982-S-2,SI,1982.0,2.0,-9.1,84.9,55.0,85.0,1.18725,25.0
1981-10-22 18:00:00,1982-S-2,SI,1982.0,2.0,-9.9,85.2,60.0,85.0,1.18725,25.0
1981-10-23 00:00:00,1982-S-2,SI,1982.0,2.0,-11.0,85.7,75.0,85.0,1.18725,25.0
1981-10-23 06:00:00,1982-S-2,SI,1982.0,2.0,-11.8,85.9,80.0,85.0,1.18725,25.0
1981-10-23 12:00:00,1982-S-2,SI,1982.0,2.0,-12.5,85.4,85.0,85.0,1.18725,25.0
1981-10-23 18:00:00,1982-S-2,SI,1982.0,2.0,-13.2,85.0,85.0,85.0,1.18725,25.0
1981-10-24 00:00:00,1982-S-2,SI,1982.0,2.0,-13.9,84.7,85.0,85.0,1.18725,25.0
1981-10-24 06:00:00,1982-S-2,SI,1982.0,2.0,-14.5,84.6,85.0,85.0,1.18725,25.0
1981-10-24 12:00:00,1982-S-2,SI,1982.0,2.0,-14.9,84.8,85.0,85.0,1.18725,25.0
1981-10-24 18:00:00,1982-S-2,SI,1982.0,2.0,-15.4,84.7,85.0,85.0,1.18725,25.0
1981-10-25 00:00:00,1982-S-2,SI,1982.0,2.0,-16.0,83.8,85.0,85.0,1.18725,25.0
1981-10-25 06:00:00,1982-S-2,SI,1982.0,2.0,-16.4,83.5,85.0,85.0,1.18725,25.0
1981-10-25 12:00:00,1982-S-2,SI,1982.0,2.0,-16.5,83.8,75.0,85.0,1.18725,25.0
1981-10-25 18:00:00,1982-S-2,SI,1982.0,2.0,-16.7,83.7,70.0,85.0,1.18725,25.0
1981-10-26 00:00:00,1982-S-2,SI,1982.0,2.0,-17.0,83.5,70.0,85.0,1.18725,25.0
1981-10-26 06:00:00,1982-S-2,SI,1982.0,2.0,-17.5,83.3,70.0,85.0,1.18725,25.0
1981-10-26 12:00:00,1982-S-2,SI,1982.0,2.0,-18.0,83.1,60.0,85.0,1.18725,25.0
1981-10-26 18:00:00,1982-S-2,SI,1982.0,2.0,-18.5,82.8,55.0,85.0,1.18725,25.0
1981-10-27 00:00:00,1982-S-2,SI,1982.0,2.0,-18.9,81.5,50.0,85.0,1.18725,25.0
1981-10-27 06:00:00,1982-S-2,SI,1982.0,2.0,-19.4,80.6,50.0,85.0,1.18725,25.0
1981-11-03 18:00:00,1982-S-3,SI,1982.0,3.0,-8.6,92.9,55.0,80.0,1.08875,15.0
1981-11-04 00:00:00,1982-S-3,SI,1982.0,3.0,-8.8,92.5,55.0,80.0,1.08875,15.0
1981-11-04 06:00:00,1982-S-3,SI,1982.0,3.0,-9.2,91.7,55.0,80.0,1.08875,15.0
1981-11-04 12:00:00,1982-S-3,SI,1982.0,3.0,-10.3,90.8,50.0,80.0,1.08875,15.0
1981-11-04 18:00:00,1982-S-3,SI,1982.0,3.0,-10.3,89.6,50.0,80.0,1.08875,15.0
1981-11-05 00:00:00,1982-S-3,SI,1982.0,3.0,-9.6,88.3,50.0,80.0,1.08875,15.0
1981-11-05 06:00:00,1982-S-3,SI,1982.0,3.0,-9.0,87.1,50.0,80.0,1.08875,15.0
1981-11-05 12:00:00,1982-S-3,SI,1982.0,3.0,-8.4,85.8,40.0,80.0,1.08875,15.0
1981-11-05 18:00:00,1982-S-3,SI,1982.0,3.0,-8.0,85.0,40.0,80.0,1.08875,15.0
1981-11-06 00:00:00,1982-S-3,SI,1982.0,3.0,-9.7,87.4,45.0,80.0,1.08875,15.0
1981-11-06 06:00:00,1982-S-3,SI,1982.0,3.0,-10.4,88.8,50.0,80.0,1.08875,15.0
1981-11-06 12:00:00,1982-S-3,SI,1982.0,3.0,-10.1,88.9,50.0,80.0,1.08875,15.0
1981-11-06 18:00:00,1982-S-3,SI,1982.0,3.0,-10.0,88.3,50.0,80.0,1.08875,15.0
1981-11-07 00:00:00,1982-S-3,SI,1982.0,3.0,-10.2,87.2,55.0,80.0,1.08875,15.0
