timestamp,Storm ID,BASIN,Season,SEASON TC NUMBER,Latitude (degrees),Longitude (degrees),VMAX (kt),Peak VMAX (kt),ACE,Maximum 24h Intensification
1982-03-14 06:00:00,1982-N-1,WP,1982,1,7.1,153.0,15,60,0.7325,15.0
1982-03-14 12:00:00,1982-N-1,WP,1982,1,7.4,151.5,20,60,0.7325,15.0
1982-03-14 18:00:00,1982-N-1,WP,1982,1,7.7,150.1,25,60,0.7325,15.0
1982-03-15 00:00:00,1982-N-1,WP,1982,1,7.8,149.0,25,60,0.7325,15.0
1982-03-15 06:00:00,1982-N-1,WP,1982,1,7.7,148.3,30,60,0.7325,15.0
1982-03-15 12:00:00,1982-N-1,WP,1982,1,7.6,147.8,35,60,0.7325,15.0
1982-03-15 18:00:00,1982-N-1,WP,1982,1,7.5,147.2,40,60,0.7325,15.0
1982-03-16 00:00:00,1982-N-1,WP,1982,1,7.3,146.4,45,60,0.7325,15.0
1982-03-16 06:00:00,1982-N-1,WP,1982,1,7.3,145.5,50,60,0.7325,15.0
1982-03-16 12:00:00,1982-N-1,WP,1982,1,7.3,144.5,50,60,0.7325,15.0
1982-03-16 18:00:00,1982-N-1,WP,1982,1,7.3,143.4,55,60,0.7325,15.0
1982-03-17 00:00:00,1982-N-1,WP,1982,1,7.4,142.4,55,60,0.7325,15.0
1982-03-17 06:00:00,1982-N-1,WP,1982,1,7.6,141.3,55,60,0.7325,15.0
1982-03-17 12:00:00,1982-N-1,WP,1982,1,7.8,140.0,55,60,0.7325,15.0
1982-03-17 18:00:00,1982-N-1,WP,1982,1,7.9,138.6,55,60,0.7325,15.0
1982-03-18 00:00:00,1982-N-1,WP,1982,1,7.9,137.0,55,60,0.7325,15.0
1982-03-18 06:00:00,1982-N-1,WP,1982,1,8.1,135.5,55,60,0.7325,15.0
1982-03-18 12:00:00,1982-N-1,WP,1982,1,8.2,133.9,55,60,0.7325,15.0
1982-03-18 18:00:00,1982-N-1,WP,1982,1,8.2,132.2,55,60,0.7325,15.0
1982-03-19 00:00:00,1982-N-1,WP,1982,1,8.2,130.1,60,60,0.7325,15.0
1982-03-19 06:00:00,1982-N-1,WP,1982,1,8.2,128.1,60,60,0.7325,15.0
1982-03-19 12:00:00,1982-N-1,WP,1982,1,8.4,126.0,55,60,0.7325,15.0
1982-03-19 18:00:00,1982-N-1,WP,1982,1,8.4,124.2,45,60,0.7325,15.0
1982-03-20 00:00:00,1982-N-1,WP,1982,1,8.4,122.8,40,60,0.7325,15.0
1982-03-20 06:00:00,1982-N-1,WP,1982,1,8.5,121.6,40,60,0.7325,15.0
1982-03-20 12:00:00,1982-N-1,WP,1982,1,8.8,120.5,35,60,0.7325,15.0
1982-03-20 18:00:00,1982-N-1,WP,1982,1,9.0,119.8,35,60,0.7325,15.0
1982-03-21 00:00:00,1982-N-1,WP,1982,1,9.3,118.8,40,60,0.7325,15.0
1982-03-21 06:00:00,1982-N-1,WP,1982,1,9.5,118.1,35,60,0.7325,15.0
1982-03-21 12:00:00,1982-N-1,WP,1982,1,9.8,117.4,35,60,0.7325,15.0
1982-03-21 18:00:00,1982-N-1,WP,1982,1,10.1,116.5,35,60,0.7325,15.0
1982-03-22 00:00:00,1982-N-1,WP,1982,1,10.3,115.7,35,60,0.7325,15.0
1982-03-22 06:00:00,1982-N-1,WP,1982,1,10.5,114.9,35,60,0.7325,15.0
1982-03-22 12:00:00,1982-N-1,WP,1982,1,11.0,114.2,30,60,0.7325,15.0
1982-03-22 18:00:00,1982-N-1,WP,1982,1,11.3,113.6,30,60,0.7325,15.0
1982-03-23 00:00:00,1982-N-1,WP,1982,1,11.6,113.0,30,60,0.7325,15.0
