timestamp,Storm ID,BASIN,Season,SEASON TC NUMBER,STORMNAME,Latitude (degrees),Longitude (degrees),VMAX (kt),Peak VMAX (kt),ACE,Maximum 24h Intensification,Tropical SST,Global SST,Local SST,Local Month Mean,Local Anomaly,Saffir-Simpson Category
1982-03-14 06:00:00,1982-N-1,WP,1982.0,1.0,,7.1,153.0,15.0,60.0,0.7325,15.0,27.961514,13.499058,28.08222,28.562027,-0.4798069,1
1981-10-21 06:00:00,1982-S-2,SI,1982.0,2.0,,-8.0,84.6,40.0,85.0,1.18725,25.0,27.240122,13.3864975,28.012896,27.828356,0.1845398,2
1982-03-18 06:00:00,1982-N-2,WP,1982.0,2.0,,3.8,160.7,25.0,105.0,2.028,25.0,27.961514,13.499058,29.003502,28.968107,0.03539467,3
1982-03-28 06:00:00,1982-N-3,WP,1982.0,3.0,,3.5,156.6,20.0,75.0,0.7065,15.0,27.961514,13.499058,28.872086,29.140408,-0.268322,1
1981-12-05 00:00:00,1982-S-4,AUS,1982.0,4.0,,-11.9,125.0,45.0,45.0,0.0485,-10.0,27.350914,13.314075,29.079239,30.00463,-0.92539024,1
1982-05-16 18:00:00,1982-N-4,WP,1982.0,4.0,,10.2,135.9,25.0,105.0,1.1725,30.0,28.493408,13.35775,28.631468,29.10732,-0.47585297,3
1982-06-18 06:00:00,1982-N-5,WP,1982.0,5.0,,9.3,148.5,15.0,75.0,0.74825,15.0,27.91884,13.328983,28.532417,29.142859,-0.6104412,1
1981-12-29 00:00:00,1982-S-7,SI,1982.0,7.0,,-9.5,78.8,20.0,45.0,0.28675,10.0,27.350914,13.314075,28.143715,28.357521,-0.21380615,1
1982-06-29 06:00:00,1982-N-7,WP,1982.0,7.0,,21.7,131.7,35.0,50.0,0.18225,10.0,27.91884,13.328983,28.231705,28.769781,-0.5380764,1
1982-01-06 00:00:00,1982-S-8,AUS,1982.0,8.0,,-12.7,102.9,20.0,120.0,3.34775,20.0,27.394754,13.473443,27.804052,27.938084,-0.1340313,4
1982-07-02 00:00:00,1982-N-8,WP,1982.0,8.0,,24.3,123.3,35.0,55.0,0.16875,20.0,27.198923,13.503196,28.30376,28.816381,-0.5126209,1
1982-07-12 12:00:00,1982-N-9,WP,1982.0,9.0,,11.8,132.6,25.0,55.0,0.34675,20.0,27.198923,13.503196,28.597403,29.275108,-0.67770576,1
1982-01-13 06:00:00,1982-S-10,AUS,1982.0,10.0,,-13.0,114.1,30.0,50.0,0.3615,10.0,27.394754,13.473443,27.682053,28.768732,-1.0866795,1
1982-07-21 12:00:00,1982-N-10,WP,1982.0,10.0,,11.1,147.0,25.0,120.0,2.3135,25.0,27.198923,13.503196,28.503325,29.196634,-0.6933098,4
1982-01-14 18:00:00,1982-S-11,AUS,1982.0,11.0,,-11.7,132.3,25.0,40.0,0.165,10.0,27.394754,13.473443,30.1389,29.752323,0.3865776,1
1982-07-22 00:00:00,1982-N-11,WP,1982.0,11.0,,11.1,163.8,25.0,140.0,3.55175,35.0,27.198923,13.503196,28.578772,28.699188,-0.12041664,5
1982-01-18 18:00:00,1982-S-12,AUS,1982.0,12.0,,-11.9,106.7,50.0,50.0,0.19325,0.0,27.394754,13.473443,27.89101,28.309776,-0.41876602,1
1982-08-04 12:00:00,1982-N-12,WP,1982.0,12.0,,19.8,130.9,20.0,125.0,2.14875,45.0,26.986732,13.61432,28.316607,29.19602,-0.8794136,4
1982-08-08 00:00:00,1982-N-13,WP,1982.0,13.0,,7.7,153.9,20.0,80.0,0.86525,25.0,26.986732,13.61432,28.282774,29.31172,-1.0289459,1
1982-01-25 18:00:00,1982-S-14,AUS,1982.0,14.0,,-18.0,154.1,25.0,65.0,0.88025,15.0,27.394754,13.473443,28.168415,28.180235,-0.0118198395,1
1982-08-17 06:00:00,1982-N-14,WP,1982.0,14.0,,8.2,154.2,20.0,125.0,2.7285,25.0,26.986732,13.61432,28.308462,29.301773,-0.9933109,4
1982-01-25 18:00:00,1982-S-15,SP,1982.0,15.0,,-16.9,173.2,25.0,70.0,0.75925,15.0,27.394754,13.473443,28.924297,28.565285,0.3590126,1
1982-08-20 00:00:00,1982-N-15,WP,1982.0,15.0,,11.3,124.8,20.0,90.0,1.47,35.0,26.986732,13.61432,28.343359,29.167967,-0.82460785,2
1982-08-27 00:00:00,1982-N-16,WP,1982.0,16.0,,14.6,153.8,30.0,100.0,2.339,30.0,26.986732,13.61432,28.092667,29.2315,-1.138834,3
1982-09-04 00:00:00,1982-N-17,WP,1982.0,17.0,,16.2,118.5,25.0,60.0,0.288,15.0,27.162603,13.575384,28.248058,28.968136,-0.7200775,1
1982-09-04 18:00:00,1982-N-18,WP,1982.0,18.0,,13.8,133.3,25.0,90.0,1.6575,20.0,27.162603,13.575384,28.28158,29.206057,-0.9244766,2
1982-09-05 00:00:00,1982-N-19,WP,1982.0,19.0,,12.1,147.3,20.0,90.0,1.3825,15.0,27.162603,13.575384,28.280516,29.34034,-1.059824,2
1982-02-22 12:00:00,1982-S-20,SI,1982.0,20.0,,-22.6,36.2,25.0,45.0,0.16025,15.0,27.583326,13.51685,27.843925,28.344028,-0.500103,1
1982-09-16 00:00:00,1982-N-20,WP,1982.0,20.0,,17.5,133.7,30.0,110.0,2.382,40.0,27.162603,13.575384,28.705679,29.215158,-0.5094795,3
1982-02-26 18:00:00,1982-S-21,AUS,1982.0,21.0,,-16.6,112.3,25.0,65.0,0.58125,15.0,27.583326,13.51685,27.597515,28.299644,-0.70212936,1
1982-09-15 00:00:00,1982-N-21,WP,1982.0,21.0,,22.0,168.1,25.0,50.0,0.27875,10.0,27.162603,13.575384,28.057571,28.717443,-0.65987206,1
1982-03-15 12:00:00,1982-S-23,AUS,1982.0,23.0,,-10.8,96.3,20.0,40.0,0.16325,15.0,27.961514,13.499058,28.175737,28.642395,-0.46665764,1
1982-10-01 00:00:00,1982-N-23,WP,1982.0,23.0,,11.8,151.8,20.0,140.0,3.27025,35.0,27.555645,13.3670025,28.59406,29.252129,-0.6580677,5
1982-03-16 06:00:00,1982-S-24,SI,1982.0,24.0,,-12.2,54.7,25.0,75.0,1.35575,20.0,27.961514,13.499058,28.242931,28.654345,-0.4114132,1
1982-10-10 06:00:00,1982-N-24,WP,1982.0,24.0,,16.1,146.2,15.0,115.0,1.51875,40.0,27.555645,13.3670025,28.492056,29.184248,-0.6921921,4
1982-03-31 18:00:00,1982-S-25,AUS,1982.0,25.0,,-3.2,159.2,20.0,95.0,1.26525,15.0,27.961514,13.499058,29.303135,29.391943,-0.08880806,2
1982-04-04 12:00:00,1982-S-26,AUS,1982.0,26.0,,-11.3,138.3,25.0,70.0,0.702,15.0,28.43227,13.412174,29.06359,28.994623,0.06896591,1
1982-10-14 00:00:00,1982-N-26,WP,1982.0,26.0,,10.9,161.8,20.0,105.0,1.89325,15.0,27.555645,13.3670025,28.797213,29.129858,-0.33264542,3
1982-04-23 06:00:00,1982-S-27,SI,1982.0,27.0,,-6.2,85.4,20.0,100.0,1.7085,15.0,28.43227,13.412174,28.563868,29.177824,-0.61395645,3
1982-11-21 18:00:00,1982-N-27,WP,1982.0,27.0,,7.6,176.7,15.0,100.0,2.25075,25.0,27.761448,13.2316,29.182749,28.929003,0.25374603,3
1982-05-11 06:00:00,1982-S-28,AUS,1982.0,28.0,,-9.0,157.1,15.0,40.0,0.2335,10.0,28.493408,13.35775,28.585527,29.14447,-0.5589428,1
1982-12-07 06:00:00,1982-N-28,WP,1982.0,28.0,,10.1,130.8,25.0,65.0,0.339,25.0,27.959805,13.344919,28.543955,28.706488,-0.1625328,1
1982-10-31 12:00:00,1983-S-2,SP,1983.0,2.0,,-9.9,171.2,30.0,65.0,0.79825,10.0,27.555645,13.3670025,29.123194,28.849504,0.27368927,1
1983-07-09 12:00:00,1983-N-2,WP,1983.0,2.0,,11.4,127.4,25.0,65.0,0.37,30.0,27.47439,13.5984955,29.152802,29.35249,-0.19968796,1
1982-11-07 18:00:00,1983-S-3,SP,1983.0,3.0,,-10.8,178.8,20.0,40.0,0.2135,10.0,27.761448,13.2316,29.167768,29.221582,-0.053813934,1
1983-07-09 06:00:00,1983-N-3,WP,1983.0,3.0,,9.5,146.2,20.0,90.0,1.17275,20.0,27.47439,13.5984955,28.491142,29.207804,-0.71666145,2
1982-11-29 12:00:00,1983-S-4,SI,1983.0,4.0,,-8.5,60.0,25.0,65.0,0.538,15.0,27.761448,13.2316,27.580904,27.840137,-0.25923347,1
1983-07-20 18:00:00,1983-N-4,WP,1983.0,4.0,,8.5,138.9,20.0,135.0,1.0965,55.0,27.47439,13.5984955,28.68353,29.216326,-0.53279495,4
1982-12-10 00:00:00,1983-S-5,SP,1983.0,5.0,,-9.0,200.0,25.0,55.0,0.44125,10.0,27.959805,13.344919,29.719185,28.977968,0.74121666,1
1983-08-05 00:00:00,1983-N-5,WP,1983.0,5.0,,9.1,140.7,30.0,145.0,5.04125,55.0,27.137825,13.728456,28.987455,29.159843,-0.17238808,5
1982-12-21 00:00:00,1983-S-6,SI,1983.0,6.0,,-8.9,60.1,20.0,65.0,0.65625,15.0,27.959805,13.344919,27.96706,28.318714,-0.35165405,1
1983-08-08 00:00:00,1983-N-6,WP,1983.0,6.0,,16.0,111.3,20.0,45.0,0.2365,15.0,27.137825,13.728456,29.128742,28.919827,0.20891571,1
1983-01-04 06:00:00,1983-S-7,AUS,1983.0,7.0,,-15.0,115.3,25.0,80.0,0.69375,25.0,27.949896,13.578831,28.812717,28.6973,0.11541748,1
1983-08-12 00:00:00,1983-N-7,WP,1983.0,7.0,,24.3,145.1,30.0,50.0,0.2545,10.0,27.137825,13.728456,28.365505,28.888958,-0.52345276,1
1983-01-10 00:00:00,1983-S-8,SI,1983.0,8.0,,-8.8,47.2,25.0,65.0,0.525,20.0,27.949896,13.578831,28.93998,28.809578,0.13040161,1
1983-08-17 06:00:00,1983-N-8,WP,1983.0,8.0,,15.2,140.1,20.0,55.0,0.559,20.0,27.137825,13.728456,29.110752,29.375921,-0.26516914,1
1983-01-13 18:00:00,1983-S-9,AUS,1983.0,9.0,,-14.6,142.6,15.0,55.0,0.57325,15.0,27.949896,13.578831,30.110235,29.675484,0.4347515,1
1983-01-18 12:00:00,1983-S-10,SP,1983.0,10.0,,-14.2,176.4,20.0,80.0,1.0135,15.0,27.949896,13.578831,28.403198,29.056,-0.6528015,1
1983-08-27 00:00:00,1983-N-10,WP,1983.0,10.0,,9.8,183.2,20.0,125.0,2.30975,30.0,27.137825,13.728456,27.914701,28.449713,-0.5350113,4
1983-09-20 12:00:00,1983-N-11,WP,1983.0,11.0,,10.3,144.1,30.0,150.0,3.47125,75.0,27.097513,13.6356735,29.341187,29.293165,0.048021317,5
1983-02-11 12:00:00,1983-S-12,AUS,1983.0,12.0,,-10.6,157.7,20.0,100.0,4.102,25.0,28.115385,13.701132,29.155394,29.489458,-0.33406448,3
1983-09-28 00:00:00,1983-N-12,WP,1983.0,12.0,,17.2,118.0,25.0,55.0,0.27825,30.0,27.097513,13.6356735,29.879128,28.945305,0.93382263,1
1983-02-20 12:00:00,1983-S-13,SP,1983.0,13.0,,-12.8,217.3,25.0,100.0,1.54844,27.0,28.115385,13.701132,29.490572,28.674799,0.815773,3
1983-10-06 12:00:00,1983-N-13,WP,1983.0,13.0,,10.8,115.6,25.0,50.0,0.182,15.0,27.074478,13.3713045,28.493837,28.767351,-0.2735138,1
1983-02-22 18:00:00,1983-S-14,SP,1983.0,14.0,,-14.5,179.2,25.0,100.0,1.68825,15.0,28.115385,13.701132,28.649933,29.091173,-0.4412403,3
1983-10-06 12:00:00,1983-N-14,WP,1983.0,14.0,,17.0,146.4,20.0,65.0,0.46025,20.0,27.074478,13.3713045,29.189653,29.15128,0.038373947,1
1983-02-25 00:00:00,1983-S-15,SP,1983.0,15.0,,-11.1,192.6,20.0,41.0,0.1959,8.0,28.115385,13.701132,29.040728,29.12761,-0.08688164,1
1983-10-08 06:00:00,1983-N-15,WP,1983.0,15.0,,8.8,134.1,20.0,65.0,0.36475,15.0,27.074478,13.3713045,28.883823,29.209547,-0.32572365,1
1983-02-27 12:00:00,1983-S-16,AUS,1983.0,16.0,,-13.3,126.7,25.0,55.0,0.37925,10.0,28.115385,13.701132,30.463957,29.518347,0.94561005,1
1983-03-07 00:00:00,1983-S-17,SP,1983.0,17.0,,-11.3,212.6,30.0,90.0,1.68449,20.0,28.37962,13.636249,28.316006,29.076357,-0.7603512,2
1983-10-22 00:00:00,1983-N-17,WP,1983.0,17.0,,16.1,116.8,30.0,70.0,0.53775,15.0,27.074478,13.3713045,28.965487,28.490906,0.47458076,1
1983-03-22 18:00:00,1983-S-18,SP,1983.0,18.0,,-11.2,180.3,25.0,90.0,1.023,25.0,28.37962,13.636249,29.019081,29.363958,-0.34487724,2
1983-10-30 12:00:00,1983-N-18,WP,1983.0,18.0,,6.3,149.5,25.0,145.0,2.728,50.0,27.074478,13.3713045,29.146069,29.487154,-0.34108543,5
1983-03-27 00:00:00,1983-S-19,SP,1983.0,19.0,,-7.7,203.8,25.0,102.0,1.1944,31.0,28.37962,13.636249,28.388046,28.924057,-0.53601074,3
1983-11-08 00:00:00,1983-N-19,WP,1983.0,19.0,,16.8,156.5,30.0,50.0,0.182,15.0,27.142187,13.236314,28.609015,28.506182,0.102832794,1
1983-04-03 06:00:00,1983-S-20,AUS,1983.0,20.0,,-11.6,120.0,20.0,60.0,0.369,20.0,28.641123,13.528305,29.4309,29.274418,0.1564827,1
1983-11-14 12:00:00,1983-N-20,WP,1983.0,20.0,,13.8,147.2,20.0,125.0,2.525,15.0,27.142187,13.236314,28.936142,28.939985,-0.0038433075,4
1983-04-07 00:00:00,1983-S-21,SP,1983.0,21.0,,-10.3,224.4,25.0,100.0,1.51148,28.0,28.641123,13.528305,28.853794,28.345726,0.5080681,3
1983-11-17 00:00:00,1983-N-21,WP,1983.0,21.0,,10.5,110.8,15.0,70.0,0.53325,25.0,27.142187,13.236314,27.61671,27.79483,-0.17811966,1
1983-04-15 12:00:00,1983-S-22,SP,1983.0,22.0,,-10.0,228.6,30.0,76.0,0.99638,14.0,28.641123,13.528305,28.964088,28.050673,0.9134159,1
1983-11-21 06:00:00,1983-N-22,WP,1983.0,22.0,,7.5,145.3,25.0,60.0,0.40275,35.0,27.142187,13.236314,29.018963,29.413225,-0.3942623,1
1983-04-19 12:00:00,1983-S-23,SI,1983.0,23.0,,-11.8,80.4,20.0,60.0,0.811,15.0,28.641123,13.528305,28.064932,28.348482,-0.28355026,1
1983-04-23 18:00:00,1983-S-24,AUS,1983.0,24.0,,-10.3,101.7,25.0,55.0,0.34175,15.0,28.641123,13.528305,29.909758,28.896563,1.013195,1
1983-12-14 12:00:00,1983-N-24,WP,1983.0,24.0,,8.6,142.8,20.0,55.0,0.2035,15.0,27.160498,13.293881,29.092083,28.89767,0.19441223,1
1984-06-07 18:00:00,1984-N-1,WP,1984.0,1.0,,11.9,114.8,20.0,40.0,0.13375,10.0,27.347645,13.383759,28.872185,29.398079,-0.52589417,1
1984-06-18 06:00:00,1984-N-2,WP,1984.0,2.0,,20.5,135.1,20.0,60.0,0.652,10.0,27.347645,13.383759,28.504522,29.221722,-0.7171993,1
1984-07-01 00:00:00,1984-N-3,WP,1984.0,3.0,,16.1,124.5,30.0,75.0,0.48325,20.0,27.012272,13.582765,29.18233,29.483892,-0.30156326,1
1984-07-04 18:00:00,1984-N-4,WP,1984.0,4.0,,14.7,126.3,25.0,55.0,0.27225,15.0,27.012272,13.582765,29.139172,29.429144,-0.2899723,1
1983-11-20 06:00:00,1984-S-5,SI,1984.0,5.0,,-8.1,72.9,20.0,45.0,0.27475,10.0,27.142187,13.236314,27.954456,28.178694,-0.22423744,1
1984-07-05 06:00:00,1984-N-5,WP,1984.0,5.0,,16.5,152.8,20.0,90.0,1.2325,30.0,27.012272,13.582765,28.998028,29.203707,-0.20567894,2
1983-11-27 00:00:00,1984-S-6,AUS,1984.0,6.0,,-11.7,113.3,25.0,70.0,0.3625,15.0,27.142187,13.236314,28.294327,28.14098,0.15334702,1
1984-07-21 18:00:00,1984-N-6,WP,1984.0,6.0,,21.0,162.2,20.0,125.0,2.10925,35.0,27.012272,13.582765,28.451895,28.675451,-0.22355652,4
1983-12-05 18:00:00,1984-S-7,SI,1984.0,7.0,,-9.6,65.0,30.0,130.0,2.63275,30.0,27.160498,13.293881,27.847656,28.371332,-0.5236759,4
1984-07-25 06:00:00,1984-N-7,WP,1984.0,7.0,,28.0,135.1,25.0,100.0,1.17875,25.0,27.012272,13.582765,28.599854,27.992283,0.60757065,3
1983-12-10 12:00:00,1984-S-8,AUS,1984.0,8.0,,-14.9,149.7,35.0,45.0,0.20975,10.0,27.160498,13.293881,27.90435,28.41028,-0.50592995,1
1984-08-04 00:00:00,1984-N-8,WP,1984.0,8.0,,11.3,132.4,20.0,55.0,0.28425,15.0,26.743427,13.724679,29.232176,29.043297,0.18887901,1
1983-12-19 00:00:00,1984-S-9,SI,1984.0,9.0,,-7.5,69.2,25.0,90.0,1.53575,20.0,27.160498,13.293881,28.366978,28.644718,-0.27774048,2
1983-12-19 06:00:00,1984-S-10,AUS,1984.0,10.0,,-6.1,128.6,30.0,45.0,0.1535,15.0,27.160498,13.293881,29.079472,29.624607,-0.5451355,1
1984-08-15 12:00:00,1984-N-10,WP,1984.0,10.0,,19.2,119.1,30.0,55.0,0.56025,10.0,26.743427,13.724679,28.24424,29.011251,-0.76701164,1
1984-08-14 12:00:00,1984-N-11,WP,1984.0,11.0,,19.3,137.6,25.0,75.0,1.0355,15.0,26.743427,13.724679,28.866516,29.344786,-0.47826958,1
1984-01-03 12:00:00,1984-S-12,AUS,1984.0,12.0,,-14.3,107.4,25.0,45.0,0.37525,10.0,27.17849,13.459874,27.897331,27.897648,-0.00031661987,1
1984-01-11 18:00:00,1984-S-13,AUS,1984.0,13.0,,-15.6,149.2,20.0,65.0,0.7895,15.0,27.17849,13.459874,28.725927,28.80304,-0.0771122,1
1984-08-26 00:00:00,1984-N-13,WP,1984.0,13.0,,8.2,146.0,20.0,125.0,2.44825,30.0,26.743427,13.724679,28.879488,29.208319,-0.32883072,4
1984-01-19 00:00:00,1984-S-14,SI,1984.0,14.0,,-16.3,53.7,35.0,55.0,0.7495,15.0,27.17849,13.459874,27.72747,28.113525,-0.386055,1
1984-08-28 00:00:00,1984-N-14,WP,1984.0,14.0,,17.7,125.3,45.0,60.0,0.326,10.0,26.743427,13.724679,28.922937,29.24308,-0.32014275,1
1984-09-13 00:00:00,1984-N-15,WP,1984.0,15.0,,22.4,171.5,25.0,75.0,0.60425,20.0,26.939056,13.673055,28.793283,28.589283,0.20400047,1
1984-01-22 06:00:00,1984-S-16,SI,1984.0,16.0,,-7.9,85.5,25.0,75.0,0.736,15.0,27.17849,13.459874,27.821892,28.401806,-0.5799141,1
1984-09-24 00:00:00,1984-N-16,WP,1984.0,16.0,,18.6,115.7,25.0,40.0,0.1265,10.0,26.939056,13.673055,27.969606,28.751043,-0.7814369,1
1984-02-01 00:00:00,1984-S-17,AUS,1984.0,17.0,,-15.1,159.6,25.0,65.0,0.4305,15.0,27.422438,13.600641,28.487427,28.989515,-0.50208855,1
1984-09-27 12:00:00,1984-N-17,WP,1984.0,17.0,,24.6,152.3,25.0,60.0,0.38475,25.0,26.939056,13.673055,28.754522,28.839014,-0.08449173,1
1984-02-04 18:00:00,1984-S-18,AUS,1984.0,18.0,,-15.7,154.2,30.0,60.0,0.4305,15.0,27.422438,13.600641,28.191431,28.815285,-0.6238537,1
1984-09-27 12:00:00,1984-N-18,WP,1984.0,18.0,,22.3,141.3,25.0,55.0,0.2845,25.0,26.939056,13.673055,28.958447,29.018284,-0.05983734,1
1984-02-06 00:00:00,1984-S-19,AUS,1984.0,19.0,,-12.3,111.7,25.0,55.0,0.34575,20.0,27.422438,13.600641,28.143377,28.679825,-0.5364475,1
1984-10-07 00:00:00,1984-N-19,WP,1984.0,19.0,,18.1,152.3,25.0,70.0,0.3175,20.0,26.94517,13.311082,29.241863,29.035906,0.20595741,1
1984-10-09 12:00:00,1984-N-20,WP,1984.0,20.0,,18.4,151.3,20.0,80.0,0.51275,25.0,26.94517,13.311082,29.264786,29.02853,0.23625565,1
1984-02-08 12:00:00,1984-S-21,SI,1984.0,21.0,,-16.1,87.5,40.0,100.0,3.19525,20.0,27.422438,13.600641,27.599083,27.503563,0.09552002,3
1984-02-12 06:00:00,1984-S-22,SI,1984.0,22.0,,-19.2,41.2,30.0,45.0,0.20075,15.0,27.422438,13.600641,27.909018,29.144375,-1.2353573,1
1984-10-11 06:00:00,1984-N-22,WP,1984.0,22.0,,11.5,116.2,25.0,40.0,0.069,15.0,26.94517,13.311082,28.079948,28.768837,-0.68888855,1
1984-02-12 12:00:00,1984-S-23,SI,1984.0,23.0,,-20.3,41.1,30.0,45.0,0.1715,10.0,27.422438,13.600641,27.814041,29.079992,-1.2659512,1
1984-02-16 18:00:00,1984-S-24,AUS,1984.0,24.0,,-15.6,119.8,25.0,85.0,0.9135,20.0,27.422438,13.600641,29.0428,29.259491,-0.21669006,2
1984-10-18 06:00:00,1984-N-24,WP,1984.0,24.0,,8.7,150.1,20.0,120.0,1.67525,35.0,26.94517,13.311082,28.816729,29.362633,-0.54590416,4
