timestamp,Storm ID,BASIN,Season,SEASON TC NUMBER,Latitude (degrees),Longitude (degrees),VMAX (kt),Peak VMAX (kt),ACE,Maximum 24h Intensification,Month,Tropical SST,Tropical Anomaly,Local SST,Relative SST,Saffir-Simpson Category
1982-03-14 06:00:00,1982-N-1,WP,1982.0,1.0,7.1,153.0,15.0,60.0,0.7325,15.0,3,27.237669,-0.2703361511230469,28.08222,0.8445511,1
1981-10-21 06:00:00,1982-S-2,SI,1982.0,2.0,-8.0,84.6,40.0,85.0,1.18725,25.0,10,26.76603,-0.14600372314453125,28.012896,1.2468662,2
1982-03-18 06:00:00,1982-N-2,WP,1982.0,2.0,3.8,160.7,25.0,105.0,2.028,25.0,3,27.237669,-0.2703361511230469,29.003502,1.7658329,3
1981-11-03 18:00:00,1982-S-3,SI,1982.0,3.0,-8.6,92.9,55.0,80.0,1.08875,15.0,11,26.829243,-0.22811508178710938,27.334639,0.5053959,1
1982-03-28 06:00:00,1982-N-3,WP,1982.0,3.0,3.5,156.6,20.0,75.0,0.7065,15.0,3,27.237669,-0.2703361511230469,28.872086,1.6344166,1
1981-12-05 00:00:00,1982-S-4,SI,1982.0,4.0,-11.9,125.0,45.0,45.0,0.0485,-10.0,12,26.863974,-0.16557693481445312,29.079239,2.2152653,1
1982-05-16 18:00:00,1982-N-4,WP,1982.0,4.0,10.2,135.9,25.0,105.0,1.1725,30.0,5,27.561676,-0.11422348022460938,28.631468,1.0697918,3
1982-06-18 06:00:00,1982-N-5,WP,1982.0,5.0,9.3,148.5,15.0,75.0,0.74825,15.0,6,27.118717,-0.1431140899658203,28.532417,1.4137001,1
1981-12-29 00:00:00,1982-S-7,SI,1982.0,7.0,-9.5,78.8,20.0,45.0,0.28675,10.0,12,26.863974,-0.16557693481445312,28.143715,1.2797413,1
1982-06-29 06:00:00,1982-N-7,WP,1982.0,7.0,21.7,131.7,35.0,50.0,0.18225,10.0,6,27.118717,-0.1431140899658203,28.231705,1.1129875,1
1982-01-06 00:00:00,1982-S-8,SI,1982.0,8.0,-12.7,102.9,20.0,120.0,3.34775,20.0,1,26.827576,-0.18116188049316406,27.804052,0.97647667,4
1982-07-02 00:00:00,1982-N-8,WP,1982.0,8.0,24.3,123.3,35.0,55.0,0.16875,20.0,7,26.558819,-0.2574806213378906,28.30376,1.7449417,1
1982-07-12 12:00:00,1982-N-9,WP,1982.0,9.0,11.8,132.6,25.0,55.0,0.34675,20.0,7,26.558819,-0.2574806213378906,28.597403,2.0385838,1
1982-01-13 06:00:00,1982-S-10,SI,1982.0,10.0,-13.0,114.1,30.0,50.0,0.3615,10.0,1,26.827576,-0.18116188049316406,27.682053,0.8544769,1
1982-07-21 12:00:00,1982-N-10,WP,1982.0,10.0,11.1,147.0,25.0,120.0,2.3135,25.0,7,26.558819,-0.2574806213378906,28.503325,1.9445057,4
1982-01-14 18:00:00,1982-S-11,SI,1982.0,11.0,-11.7,132.3,25.0,40.0,0.165,10.0,1,26.827576,-0.18116188049316406,30.1389,3.311325,1
1982-07-22 00:00:00,1982-N-11,WP,1982.0,11.0,11.1,163.8,25.0,140.0,3.55175,35.0,7,26.558819,-0.2574806213378906,28.578772,2.0199528,5
1982-01-18 18:00:00,1982-S-12,SI,1982.0,12.0,-11.9,106.7,50.0,50.0,0.19325,0.0,1,26.827576,-0.18116188049316406,27.89101,1.0634346,1
1982-08-04 12:00:00,1982-N-12,WP,1982.0,12.0,19.8,130.9,20.0,125.0,2.14875,45.0,8,26.395185,-0.2132244110107422,28.316607,1.921421,4
1982-08-08 00:00:00,1982-N-13,WP,1982.0,13.0,7.7,153.9,20.0,80.0,0.86525,25.0,8,26.395185,-0.2132244110107422,28.282774,1.8875885,1
1982-01-25 18:00:00,1982-S-14,SP,1982.0,14.0,-18.0,154.1,25.0,65.0,0.88025,15.0,1,26.827576,-0.18116188049316406,28.168415,1.3408394,1
1982-08-17 06:00:00,1982-N-14,WP,1982.0,14.0,8.2,154.2,20.0,125.0,2.7285,25.0,8,26.395185,-0.2132244110107422,28.308462,1.9132767,4
1982-01-25 18:00:00,1982-S-15,SP,1982.0,15.0,-16.9,173.2,25.0,70.0,0.75925,15.0,1,26.827576,-0.18116188049316406,28.924297,2.0967216,1
1982-08-20 00:00:00,1982-N-15,WP,1982.0,15.0,11.3,124.8,20.0,90.0,1.47,35.0,8,26.395185,-0.2132244110107422,28.343359,1.9481735,2
1982-01-30 00:00:00,1982-S-16,SI,1982.0,16.0,-15.0,65.2,20.0,45.0,0.29275,10.0,1,26.827576,-0.18116188049316406,27.438322,0.6107464,1
1982-08-27 00:00:00,1982-N-16,WP,1982.0,16.0,14.6,153.8,30.0,100.0,2.339,30.0,8,26.395185,-0.2132244110107422,28.092667,1.6974812,3
1982-09-04 00:00:00,1982-N-17,WP,1982.0,17.0,16.2,118.5,25.0,60.0,0.288,15.0,9,26.57809,-0.12213897705078125,28.248058,1.6699677,1
1982-09-04 18:00:00,1982-N-18,WP,1982.0,18.0,13.8,133.3,25.0,90.0,1.6575,20.0,9,26.57809,-0.12213897705078125,28.28158,1.7034893,2
1982-09-05 00:00:00,1982-N-19,WP,1982.0,19.0,12.1,147.3,20.0,90.0,1.3825,15.0,9,26.57809,-0.12213897705078125,28.280516,1.702425,2
1982-02-22 12:00:00,1982-S-20,SI,1982.0,20.0,-22.6,36.2,25.0,45.0,0.16025,15.0,2,26.950287,-0.22831344604492188,27.843925,0.8936386,1
1982-09-16 00:00:00,1982-N-20,WP,1982.0,20.0,17.5,133.7,30.0,110.0,2.382,40.0,9,26.57809,-0.12213897705078125,28.705679,2.1275883,3
1982-02-26 18:00:00,1982-S-21,SI,1982.0,21.0,-16.6,112.3,25.0,65.0,0.58125,15.0,2,26.950287,-0.22831344604492188,27.597515,0.64722824,1
1982-09-15 00:00:00,1982-N-21,WP,1982.0,21.0,22.0,168.1,25.0,50.0,0.27875,10.0,9,26.57809,-0.12213897705078125,28.057571,1.4794807,1
1982-03-15 12:00:00,1982-S-23,SI,1982.0,23.0,-10.8,96.3,20.0,40.0,0.16325,15.0,3,27.237669,-0.2703361511230469,28.175737,0.9380684,1
1982-10-01 00:00:00,1982-N-23,WP,1982.0,23.0,11.8,151.8,20.0,140.0,3.27025,35.0,10,26.915617,0.0035839080810546875,28.59406,1.6784439,5
1982-03-16 06:00:00,1982-S-24,SI,1982.0,24.0,-12.2,54.7,25.0,75.0,1.35575,20.0,3,27.237669,-0.2703361511230469,28.242931,1.0052624,1
1982-10-10 06:00:00,1982-N-24,WP,1982.0,24.0,16.1,146.2,15.0,115.0,1.51875,40.0,10,26.915617,0.0035839080810546875,28.492056,1.5764389,4
1982-03-31 18:00:00,1982-S-25,SP,1982.0,25.0,-3.2,159.2,20.0,95.0,1.26525,15.0,3,27.237669,-0.2703361511230469,29.303135,2.065466,2
1982-04-04 12:00:00,1982-S-26,SI,1982.0,26.0,-11.3,138.3,25.0,70.0,0.702,15.0,4,27.557287,-0.1967639923095703,29.06359,1.5063019,1
1982-10-14 00:00:00,1982-N-26,WP,1982.0,26.0,10.9,161.8,20.0,105.0,1.89325,15.0,10,26.915617,0.0035839080810546875,28.797213,1.8815956,3
